,B_mag,Proton_Temp,Proton_dens,Plasma_speed,AP_ratio,Flow_pres,E,Alfven_MN,Kp,R,DST,AE_index,Proton_flux1,Proton_flux2,Proton_flux4,Proton_flux10,Proton_flux30,Proton_flux60,Ap,PC_index,AL_index,AU_index,Mag_MN
1981.725,5.02,101107.07,7.03,418.88,0.06,2.39,0.01,7.6,24.9,209.04,-20.58,235.62,166.56,65.06,17.89,3.35,0.69,0.48,15.22,1.08,-132.28,102.33,5.01
1981.727,5.04,100739.49,7.06,418.38,0.06,2.39,0.0,7.58,24.83,209.0,-20.52,234.75,165.79,64.77,17.81,3.34,0.69,0.48,15.17,1.07,-131.75,102.0,5.0
1981.73,5.06,100501.88,7.09,417.9,0.06,2.39,-0.0,7.57,24.8,208.94,-20.42,234.27,165.15,64.53,17.75,3.33,0.69,0.47,15.13,1.07,-131.51,101.76,5.0
1981.733,5.07,100461.57,7.1,417.59,0.06,2.39,-0.0,7.56,24.82,208.94,-20.38,234.1,164.48,64.28,17.69,3.32,0.69,0.47,15.11,1.07,-131.48,101.62,4.99
1981.736,5.07,100333.1,7.1,417.46,0.06,2.39,0.01,7.56,24.91,209.01,-20.51,235.44,163.76,64.0,17.61,3.3,0.69,0.47,15.2,1.08,-132.42,102.02,4.99
1981.7379999999998,5.07,100268.01,7.09,417.35,0.06,2.39,0.01,7.56,24.95,209.29,-20.68,236.27,162.98,63.7,17.53,3.29,0.68,0.47,15.23,1.08,-133.02,102.26,4.99
1981.741,5.06,100268.01,7.11,416.99,0.06,2.39,0.01,7.58,24.91,209.67,-20.69,235.63,162.22,63.4,17.45,3.27,0.68,0.47,15.18,1.08,-132.68,101.95,4.99
1981.744,5.04,100268.01,7.16,416.72,0.06,2.4,0.01,7.6,24.92,210.02,-20.63,235.36,161.45,63.09,17.36,3.26,0.68,0.47,15.18,1.08,-132.51,101.86,4.99
1981.747,5.06,100268.01,7.16,417.01,0.06,2.4,0.01,7.59,24.94,210.36,-20.58,235.12,160.66,62.78,17.28,3.24,0.68,0.47,15.18,1.08,-132.32,101.8,4.99
1981.749,5.06,100268.01,7.14,417.31,0.06,2.4,0.0,7.58,24.93,210.75,-20.56,234.5,159.87,62.48,17.19,3.23,0.67,0.47,15.14,1.07,-131.93,101.57,4.99
1981.7520000000002,5.07,100333.53,7.13,417.6,0.06,2.4,-0.0,7.58,24.96,211.06,-20.47,234.26,172.1,64.97,17.28,3.22,0.67,0.46,15.18,1.07,-131.76,101.51,5.0
1981.755,5.06,100255.35,7.12,418.66,0.06,2.41,-0.0,7.59,25.05,211.46,-20.49,234.97,171.71,64.72,17.2,3.2,0.67,0.46,15.28,1.08,-132.25,101.73,5.01
1981.7579999999998,5.05,100219.47,7.1,418.91,0.06,2.4,-0.0,7.59,25.07,211.66,-20.55,235.11,170.88,64.4,17.11,3.19,0.67,0.46,15.29,1.08,-132.42,101.7,5.01
1981.76,5.05,99935.89,7.08,418.85,0.06,2.4,-0.0,7.58,25.03,211.9,-20.58,234.56,170.03,64.08,17.03,3.17,0.66,0.46,15.25,1.08,-132.13,101.44,5.01
1981.763,5.05,99678.84,7.08,418.51,0.06,2.39,-0.0,7.58,24.97,211.97,-20.54,234.08,169.19,63.76,16.95,3.16,0.66,0.46,15.2,1.07,-131.9,101.19,5.01
1981.766,5.06,99521.05,7.1,418.26,0.06,2.4,0.01,7.58,25.05,212.04,-20.61,234.82,168.36,63.45,16.86,3.14,0.66,0.46,15.29,1.08,-132.47,101.36,5.01
1981.7679999999998,5.06,99777.55,7.11,418.35,0.06,2.4,0.01,7.57,25.11,212.21,-20.82,235.2,167.61,63.21,16.84,3.17,0.68,0.47,15.34,1.08,-132.77,101.44,5.01
1981.771,5.07,100074.55,7.11,418.54,0.06,2.41,0.01,7.57,25.15,212.33,-20.93,235.42,167.54,63.38,17.01,3.28,0.72,0.49,15.36,1.09,-133.0,101.43,5.01
1981.774,5.06,100074.55,7.12,418.85,0.06,2.41,0.01,7.58,25.2,212.23,-21.02,236.19,169.46,64.54,17.51,3.47,0.76,0.51,15.42,1.09,-133.52,101.68,5.01
1981.777,5.09,100074.55,7.14,418.96,0.06,2.42,0.02,7.57,25.31,212.04,-21.35,238.12,180.32,69.19,18.84,3.73,0.8,0.53,15.57,1.11,-134.66,102.46,5.01
1981.779,5.08,100074.55,7.14,418.74,0.06,2.42,0.02,7.58,25.29,211.8,-21.54,237.85,185.24,71.67,19.89,4.22,1.0,0.66,15.56,1.11,-134.53,102.33,5.01
